train_losses,valid_losses,mean_ap
1.984278493317274,1.1044649800360202,0.02099217610814281
1.4365186366897362,1.1044649800360202,0.02099217610814281
1.3017793662846089,0.4929731736779213,0.1237012179952516
1.172374104651121,0.4929731736779213,0.1237012179952516
1.1349717990710184,0.6318858213275671,0.14567707729363674
1.0342004800072082,0.6318858213275671,0.14567707729363674
0.9699560960324911,0.5430664863934119,0.16299671886991327
0.9107024630674949,0.5430664863934119,0.16299671886991327
0.8841082635980386,0.520238448197643,0.1457488538210126
0.8358418693336157,0.520238448197643,0.1457488538210126
0.7790302695563206,0.5373943527986605,0.19183639488496027
0.765857617270488,0.5373943527986605,0.19183639488496027
0.7233225155048646,0.47031602589289345,0.19487562583613685
0.6686818145788633,0.47031602589289345,0.19487562583613685
0.6304484830166285,0.49162060870230195,0.19778795064216861
0.5926067001257952,0.49162060870230195,0.19778795064216861
0.5680967794301418,0.45564685919880865,0.2110155813692782
0.5429781712305087,0.45564685919880865,0.2110155813692782
0.5191473485758671,0.5233354292313258,0.20512114136597673
0.4927688344166829,0.5233354292313258,0.20512114136597673
0.477059922596583,0.5297415461937587,0.21023724460797139
0.4590638351841615,0.5297415461937587,0.21023724460797139
0.4450675260275602,0.5110892229477565,0.2064600910372957
0.42908936148652665,0.5110892229477565,0.2064600910372957
0.41692473080295783,0.522882603580753,0.2163340213886418
0.40232986343594695,0.522882603580753,0.2163340213886418
0.39430324194523003,0.5271502255052328,0.21256734515391812
0.3822466793541725,0.5271502255052328,0.21256734515391812
0.37461160223644513,0.5977747958252827,0.2180431314390268
0.36558808349072935,0.5977747958252827,0.2180431314390268
